I01E,,"8° N, Sri Lanka to Singapore",1995,H. Bryden,USA,y,316N145_12
,,,,Unknown,,next,
I01W,,"8° N, Oman to Sri Lanka",1995,J. Morrison,USA,y,316N145_11
,,,,Unknown,,next,
I02 + I10,y + y,"I02 (10° S) + I10 (8° - 25° S at 111° E)
*note: may be changed to I8N + I5E
+ I10 for security reasons",1995,J. Sprintall,USA,y,"316N145_14, 316N145_15"
,,,2011,A. Murata,Japan,next,
I05,y,"32° S, Durban to Freemantle",2009,J. Swift,USA,y,33RR20090320
,,,,Unknown,,next,
I06S,y,"30° E Cape Town to Antarctic
Continent",2008,K. Speer,USA,y,33RR20080204
,,,,Unknown,,next,
I07N,y,"65° - 55° E, Oman to Mauritius",1995,J. Toole/D. Olson,USA,y,316N145_9
,,,,"Postponed
indefinitely for
security reasons",,next,
I08S,,"95 - 82° E from 27° S to Antarctic
Continent",2007,J. Swift,USA,y,33RR20070204
,,,,Unknown,,next,
I09N,y,"95° E, 28 - 4° S",2007,J. Sprintall,USA,y,33RR20070322
,,,,Unknown,,next,
I09S,,115° E,2005,S. Rintoul,Australia,y,09AR20041223
,,,2012,S. Rintoul,Australia,next,
S04I,,"Section connecting I09S and S04P
at ~ 60° S; S04/S04I + P14S, 62° S
(33.5° E-168° E) + 174° E",1996,J. Swift,USA,y,320696_3
,,,2013,T. Kawano,Japan,next,
Arctic,,,,,,,
75*N,,Iceland - Greenland.,2009,T. Johannessen and A. Olsen,Norway,y,
,,,2011,T. Johannessen and A. Olsen,Norway,next,
Barrows and Nares Straits,,"Barrow Strait (74.09° N 90.44° W
to 74.83° N 93.00° W);
Nares Strait (occupied irregularly)",2009,J. Hamilton,Canada,y,
,,,2010,J. Hamilton,Canada,next,
Barrow to Svalbard,,Barrow Alaska to Svalbard Norway,2005,L. Anderson,Sweden,y,
,,,2012,L. Anderson,Sweden,next,
Davis Straits,,Baffin Island to Greenland,2009,C. Lee and B. Petrie,USA and Canada,y,
,,,2010,C. Lee and K. Azetsu-Scott,USA and Canada,next,
RUSALCA,n,Bering and Chukchi Seas,2009,R. Woodgate,USA,y,
,,,2010,R. Woodgate,USA,next,
Section,reoccupied decadally?,Description (ship track),last occ year,last occ chisci,last occ country,,
